YouTube ID,start seconds,label,train/test split
8m6ktbBTe0A,106,airplane flyby,train
3-qL2erINcU,541,airplane flyby,train
Kci3xCPkRMg,67,airplane flyby,train
Ohi6MIQHiWw,32,airplane flyby,train
NQQqTAFuFxw,127,airplane flyby,train
gpDkuPTITZI,118,airplane flyby,train
mT8C3Dw1ccA,39,airplane flyby,train
KJb-GC9EMJM,117,airplane flyby,train
38Z3ovrzVdo,169,airplane flyby,train
aLvtTXSUagk,14,airplane flyby,train
Bf8fA2AFLrQ,41,airplane flyby,train
nf2N7FBEknA,139,airplane flyby,train
ResVOStRodo,101,airplane flyby,train
gScZGcDSTEA,93,airplane flyby,train
ResVOStRodo,61,airplane flyby,train
y87yY60QgBY,19,airplane flyby,train
jlo9aFWLUzs,125,airplane flyby,train
70Sd8h3XXvU,143,airplane flyby,train
rFNnj8Jb2ms,104,airplane flyby,train
ThdHvrWsErc,26,airplane flyby,train
Tv0lPdsy2bY,612,airplane flyby,train
7o9DKlvDOOs,0,airplane flyby,train
ybrViJtAHGA,10,airplane flyby,train
9UPjyNjGPLk,112,airplane flyby,train
hfhIZsXdNTg,58,airplane flyby,train
rAxdCMD7feY,306,airplane flyby,train
3Okx0T5vpFc,97,airplane flyby,train
jp2VBXWnW-M,37,airplane flyby,train
ydRL3oSqzWg,1,airplane flyby,train
dU97UxsYbq4,77,airplane flyby,train
MAujzrodH74,27,airplane flyby,train
pr9Ot9KGVLc,107,airplane flyby,train
97rSobuKBxI,23,airplane flyby,train
jIhXi4NqTS4,92,airplane flyby,train
7hpLQJTgamU,112,airplane flyby,train
GswFgtUKNSE,25,airplane flyby,train
p26NYiRXm2s,64,airplane flyby,train
E0IZHGIGztU,29,airplane flyby,train
JqfWmGGrP8Q,69,airplane flyby,train
krQeUeqTO4k,138,airplane flyby,train
wKQUep6z8SY,13,airplane flyby,train
R-WeWzD4wuw,47,airplane flyby,train
dU6zrdvUIFI,4,airplane flyby,train
7XLMpyqLP7k,9,airplane flyby,train
e1IM6nXsdQc,88,airplane flyby,train
GjsAXnGB27M,112,airplane flyby,train
fvjzd8WWCIM,93,airplane flyby,train
AkUm0NDZTFs,31,airplane flyby,train
Zqhvd5rBuz4,36,airplane flyby,train
F16D28CMlaQ,364,airplane flyby,train
oT6lB4NVjO4,130,airplane flyby,train
gRzOb0OG36A,27,airplane flyby,train
nxw8RTBlS9U,0,airplane flyby,train
kAjcn4XruV4,185,airplane flyby,train
u6K4iSxET6g,21,airplane flyby,train
eebBjs507Yc,3,airplane flyby,train
S2E6EExjyQ4,14,airplane flyby,train
cXaQ7aykA0E,10,airplane flyby,train
IHrz8URnta4,86,airplane flyby,train
ZDWTn2rF9zc,12,airplane flyby,train
Lgwi8AScOT4,39,airplane flyby,train
Thko0nVKJ9o,45,airplane flyby,train
SuVx1KfiS6I,8,airplane flyby,train
GnEpu2mb2oI,112,airplane flyby,train
MzkpkgMtPc0,267,airplane flyby,train
GnEpu2mb2oI,169,airplane flyby,train
