YouTube ID,start seconds,label,train/test split
---g-f_I2yQ,1,people marching,test
-4viN_EoxOA,0,playing saxophone,test
-GW1J75oAKU,304,"playing violin, fiddle",test
-Gr9P8Abnlk,110,toilet flushing,test
-K-ccLMFE5M,245,people marching,test
-K-ccLMFE5M,259,people marching,test
-KA76yUSK44,240,playing cello,test
-KCYC-n5Uag,22,wind chime,test
-KqXcm-I2zY,87,playing tennis,test
-KqXcm-I2zY,162,playing tennis,test
-O4W3NA5-uA,150,playing tennis,test
-RUvAmkAcgw,707,slot machine,test
-T8zbMNxdcw,207,swimming,test
-Y8sJDoL1YA,15,playing gong,test
-_umX4zgLVY,28,lions growling,test
-aXWYfAdovc,230,"bee, wasp, etc. buzzing",test
-lJctvybAJ8,30,playing vibraphone,test
-pBFsYisTCM,10,playing vibraphone,test
-yI3BN2OrO4,352,mouse clicking,test
-zgGL2o1jqw,80,toilet flushing,test
1_0T2ZIjWnw,31,"playing violin, fiddle",test
1_JeO9Pg1aQ,20,cricket chirping,test
1_v-Kro86Io,10,playing harpsichord,test
1kTMiyc5eXg,163,cricket chirping,test
1nbCJJtsruI,0,playing saxophone,test
1tobDIRRV0A,30,crow cawing,test
1tz4xNRRR4M,10,playing vibraphone,test
1vy-ZxTMQf4,377,people marching,test
1wdCX1HmRyk,140,cricket chirping,test
29dG2jHRuXI,37,people marching,test
2BR2Ivk_EFA,21,owl hooting,test
2BbBEozEiak,133,mouse clicking,test
2BbBEozEiak,186,mouse clicking,test
2DyD824KPFM,10,cricket chirping,test
2EaYSObne7M,369,people marching,test
2FrXzcm4YMc,70,playing gong,test
2K0NKi1wigk,340,toilet flushing,test
2MKPKDQcgVc,36,train wheels squealing,test
2NESqWU89V0,338,"playing violin, fiddle",test
2OOZIIosPX4,71,train wheels squealing,test
2TjVbDWZvcE,7,owl hooting,test
2ZNKLUHeJtg,30,playing cello,test
2_-SUOI680U,130,playing gong,test
2__T6Q8rCCA,80,"bee, wasp, etc. buzzing",test
2drXOn18U3Q,136,slot machine,test
2eDP3jKoUd4,30,owl hooting,test
2gyMDnt8e6k,411,playing tennis,test
2hNEs5VCQR8,106,playing trumpet,test
2laUv3y7OfA,30,playing harpsichord,test
2mYEjl-AOMs,0,lions growling,test
2szvfFHZTV0,160,swimming,test
2vYkvwD-fkc,10,playing harmonica,test
2vzUFWykARU,20,toilet flushing,test
36v-AEu7uAU,30,"bee, wasp, etc. buzzing",test
39jhSrtRm70,79,playing timbales,test
39jhSrtRm70,110,playing timbales,test
3FE8b0QVvsM,30,playing harpsichord,test
3FHOJZpzHIU,80,mouse clicking,test
3GtvLj8K1F4,140,playing harmonica,test
3JJ700tVT_0,2,toilet flushing,test
3O0a3DAcNLM,29,wind chime,test
3O7CzEL0pXA,421,people marching,test
3O7CzEL0pXA,496,people marching,test
3RSmQOcI9JI,105,slot machine,test
3X9dtfeV1mQ,40,playing saxophone,test
3YEd-09cIzc,0,owl hooting,test
3cThgRIaqgU,16,playing trumpet,test
3juGfzF29Sc,140,playing vibraphone,test
3mCWARDySc8,59,"playing violin, fiddle",test
3od9aUtrcz4,40,playing saxophone,test
3uLeK7Lr6W8,7,wind chime,test
3vpG1PgFF34,30,playing harpsichord,test
3yCaMM8can0,100,playing harmonica,test
3ypSlMWAZeo,239,people marching,test
3zRatdumh0M,90,playing trumpet,test
421CRF4HFlA,140,playing harpsichord,test
466XkuormNQ,30,playing harpsichord,test
7-COxzRtOEU,30,toilet flushing,test
76UZQRJq028,181,playing tennis,test
78J9QqSBsN4,30,train wheels squealing,test
7Hjc-4a_3t4,493,mouse clicking,test
7Hjc-4a_3t4,504,mouse clicking,test
7I2yJgXKncw,21,crow cawing,test
7LsJrF1AwZg,30,toilet flushing,test
7MbgmOLTLhk,30,owl hooting,test
7SKRc8oyLvE,9,train wheels squealing,test
7bPuwR5a-lg,75,swimming,test
7gTiMEazgmE,30,"playing violin, fiddle",test
7gfTPdlO-d4,63,playing timbales,test
7jzx664u5DA,110,playing saxophone,test
7rzEesL55fM,340,playing vibraphone,test
7xkj4XqaynU,2,crow cawing,test
7y9hIjH_7do,90,playing cello,test
885LO4H7I5M,14,swimming,test
88yxG2fMdwM,267,playing vibraphone,test
8JkrU-U1hCE,0,slot machine,test
8Nrp4jUZeGE,270,playing vibraphone,test
8S-R5p17_IE,160,playing saxophone,test
8TWXyry2Kc4,245,slot machine,test
8XpFjwhNYUE,170,"bee, wasp, etc. buzzing",test
8YaDsXWhDTA,496,playing trumpet,test
8aLFtBwGEJ0,1,"playing violin, fiddle",test
8mT-l6lcBsk,260,toilet flushing,test
8xpT2UQhzqE,84,playing tennis,test
9-A6dZ8mbjM,332,slot machine,test
91k-dD34c94,560,playing gong,test
91oWey75sC8,120,crow cawing,test
91vBzCaNTQ0,79,"playing violin, fiddle",test
91z1LeIpLbk,4,lions growling,test
91z1LeIpLbk,53,lions growling,test
93EUsIMPlKU,40,lions growling,test
99A5reksPts,520,"bee, wasp, etc. buzzing",test
9AUSYLKYKGg,1113,owl hooting,test
9HSUOow1vB4,0,owl hooting,test
9NUBwDtWAmk,30,"playing violin, fiddle",test
9Srnaag2tCo,79,"playing violin, fiddle",test
9Vj1UPzlrTc,30,playing harpsichord,test
9Xiu4xzzurQ,23,train wheels squealing,test
9ZCHzzCh5nk,30,playing cello,test
9a3zqFrIeGI,76,swimming,test
9dU2y2b_LBg,380,"bee, wasp, etc. buzzing",test
9i3NIA1NLeY,60,playing harpsichord,test
9iVLuQ403ww,39,slot machine,test
9j_FItO0jt8,30,cricket chirping,test
9rXAmXuAOw8,0,crow cawing,test
9s26XGoKYG0,250,playing harpsichord,test
9tDqkjQLtNM,96,train wheels squealing,test
9zPrLhdmgpg,31,slot machine,test
A24InXJHgOk,28,playing trumpet,test
A4a5VD-hmz4,16,people marching,test
A5RP_P_aFsk,10,playing vibraphone,test
A8gbOIvxvMA,30,playing cello,test
A9LkQyImgNI,30,playing cello,test
AA_XVhso6IU,244,"playing violin, fiddle",test
AB--KnXO_0c,30,playing gong,test
ABNmO9SewG8,30,"bee, wasp, etc. buzzing",test
AL7eCaqpzLk,569,swimming,test
ALtDtYnWFuo,30,playing cello,test
AM3p_hpT-0o,15,crow cawing,test
AXOtscWe2FQ,0,"bee, wasp, etc. buzzing",test
A_oaLt-n4fQ,220,"playing violin, fiddle",test
AbXauqq9ayY,120,playing saxophone,test
AcNCcWJezXI,30,playing harmonica,test
AdWWI5m-9u4,342,people marching,test
AgVUGzrzJ20,320,playing saxophone,test
Ah-IBgwj2lg,30,owl hooting,test
AiHq9qStg00,42,people marching,test
AiHq9qStg00,75,people marching,test
ApIuCbTZuxc,150,playing saxophone,test
AsAFnQXl6sc,604,mouse clicking,test
Awxvsh2tM48,500,cricket chirping,test
AyEGPZ3cFfY,43,owl hooting,test
Az8NdAwKHzo,8,lions growling,test
AzY_KZTSXJk,30,playing harmonica,test
B2L6sS4DsMY,0,playing harmonica,test
B5u3PG7PWDE,30,toilet flushing,test
B8-2EKrNwzo,120,cricket chirping,test
BAHUCFLX_oE,210,playing gong,test
BBgW_3zDdto,30,playing trumpet,test
BE0qaVGwpLE,278,mouse clicking,test
BEKeSHBu9qI,340,playing saxophone,test
BHf4pvm-gGM,30,playing cello,test
BNfeHeas6hA,76,lions growling,test
BO555bbZkDw,550,playing vibraphone,test
